TT,Lĩnh vực,Câu hỏi,Loại,Các đáp án lựa chọn (Điểm - Rủi ro),Các khuyến nghị xử lý
98,Đặc thù: Sản xuất công nghiệp,Hệ thống điện trở và cuộn sấy trong dây chuyền đóng gói có được kiểm tra ngăn vật liệu đóng gói tiếp xúc trực tiếp không?,single,"A) Không có máy sấy/hàn nhiệt đóng gói; hoặc có, thanh nhiệt có bảo vệ, cảm biến ngắt kẹt [Điểm: 0, Rủi ro: safe]
B) Có thanh nhiệt, hoạt động tốt nhưng chưa có cảm biến ngắt khi vật liệu kẹt [Điểm: 1, Rủi ro: low]
C) Vật liệu đóng gói (nilon, giấy) đôi khi kẹt vào thanh nhiệt gây chảy/cháy nhỏ [Điểm: 2, Rủi ro: high]
D) Thanh nhiệt hỏng thermostat, quá nhiệt liên tục, vật liệu đóng gói đã bị cháy nhiều lần [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Vật liệu đóng gói (nilon, giấy) đôi khi kẹt vào thanh nhiệt gây chảy/cháy nhỏ. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Thanh nhiệt hỏng thermostat, quá nhiệt liên tục, vật liệu đóng gói đã bị cháy nhiều lần. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
99,Đặc thù: Sản xuất công nghiệp,Khu vực nạp điện cho xe nâng và thiết bị điện công nghiệp có được bố trí đúng không?,single,"A) Khu sạc riêng biệt, thông gió (khí hydro), sàn chống axit, bình chữa cháy, biển cấm lửa [Điểm: 0, Rủi ro: safe]
B) Khu sạc riêng nhưng thông gió chưa đủ, chưa có biển cấm lửa [Điểm: 1, Rủi ro: low]
C) Sạc xe nâng ngay trong kho hàng, gần hàng hóa dễ cháy, không thông gió [Điểm: 2, Rủi ro: high]
D) Sạc ắc-quy xe nâng trong phòng kín, bộ sạc cũ hỏng, tia lửa khi sạc, khí hydro tích tụ [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm.
- Nếu chọn (D): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm."
100,Đặc thù: Sản xuất công nghiệp,Nhân viên sản xuất có được đào tạo nhận biết dấu hiệu cảnh báo sớm nguy cơ cháy nổ liên quan đến quy trình của mình không?,single,"A) Đào tạo chuyên sâu cho từng vị trí, nhận biết dấu hiệu cháy nổ riêng, thực tập định kỳ [Điểm: 0, Rủi ro: safe]
B) Đào tạo PCCC chung, chưa đi sâu vào nguy cơ đặc thù từng quy trình sản xuất [Điểm: 1, Rủi ro: low]
C) Chỉ đào tạo cho quản lý, công nhân trực tiếp sản xuất chưa biết dấu hiệu cảnh báo [Điểm: 2, Rủi ro: high]
D) Chưa ai được đào tạo, công nhân không biết dấu hiệu nguy hiểm của quy trình mình làm [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Chỉ đào tạo cho quản lý, công nhân trực tiếp sản xuất chưa biết dấu hiệu cảnh báo. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Chưa ai được đào tạo, công nhân không biết dấu hiệu nguy hiểm của quy trình mình làm. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
101,"Đặc thù: Kho hàng, kho vật liệu",Phân loại hàng hóa theo mức độ dễ cháy trong kho có được duy trì nhất quán không?,single,"A) Có bảng phân loại nguy hiểm cháy, hàng dễ cháy để kho riêng, nhãn cảnh báo rõ ràng [Điểm: 0, Rủi ro: safe]
B) Có phân loại sơ bộ nhưng chưa dán nhãn đầy đủ, đôi khi xếp lẫn lộn [Điểm: 1, Rủi ro: low]
C) Không phân loại, hàng dễ cháy và hàng thường để chung trong cùng kho [Điểm: 2, Rủi ro: high]
D) Hàng nguy hiểm cháy nổ (aerosol, pin lithium, dung môi) để lẫn hàng thường, không nhãn [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Không phân loại, hàng dễ cháy và hàng thường để chung trong cùng kho. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Hàng nguy hiểm cháy nổ (aerosol, pin lithium, dung môi) để lẫn hàng thường, không nhãn. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
102,"Đặc thù: Kho hàng, kho vật liệu",Lối đi chính trong kho và lối tiếp cận chữa cháy có luôn thông thoáng không?,single,"A) Lối đi chính ≥ 2m thông suốt, lối tiếp cận xe cứu hỏa ≥ 3.5m, kiểm tra hàng ngày [Điểm: 0, Rủi ro: safe]
B) Lối đi chính thông thoáng nhưng đôi khi có pallet tạm chiếm chỗ rồi dọn đi [Điểm: 1, Rủi ro: low]
C) Lối đi chính bị hàng hóa thu hẹp, xe nâng phải đi khó khăn, lối thoát nạn hẹp [Điểm: 2, Rủi ro: high]
D) Lối đi chính bị chặn hoàn toàn bởi hàng hóa, không thể đi qua khi khẩn cấp [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Dọn sạch lối thoát hiểm ngay. Lắp đèn EXIT phát quang và đèn chiếu sáng sự cố. Không khóa cửa thoát nạn.
- Nếu chọn (D): Khắc phục: Lối đi chính bị chặn hoàn toàn bởi hàng hóa, không thể đi qua khi khẩn cấp. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
103,"Đặc thù: Kho hàng, kho vật liệu",Hàng hóa dễ cháy tồn kho ngoài giờ làm việc có được giám sát bởi hệ thống tự động không?,single,"A) Có hệ thống báo cháy tự động, camera nhiệt, kết nối trung tâm điều khiển 24/7 [Điểm: 0, Rủi ro: safe]
B) Có báo cháy tự động nhưng không có camera nhiệt, bảo vệ tuần tra ban đêm [Điểm: 1, Rủi ro: low]
C) Chỉ có bảo vệ tuần tra, không có hệ thống tự động phát hiện cháy [Điểm: 2, Rủi ro: high]
D) Kho không có người trực ban đêm, không có bất kỳ hệ thống giám sát nào [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Chỉ có bảo vệ tuần tra, không có hệ thống tự động phát hiện cháy. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Kho không có người trực ban đêm, không có bất kỳ hệ thống giám sát nào. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
104,"Đặc thù: Kho hàng, kho vật liệu",Kệ hàng kim loại trong kho có được kiểm tra tải trọng và neo giữ chống đổ không?,single,"A) Kệ neo vào tường/sàn, tải trọng ghi rõ, không chất vượt tải, kiểm tra định kỳ [Điểm: 0, Rủi ro: safe]
B) Kệ có neo giữ nhưng tải trọng không ghi rõ, chất hàng theo kinh nghiệm [Điểm: 1, Rủi ro: low]
C) Kệ không neo giữ, đã bị nghiêng do chất quá tải, xe nâng va chạm làm cong [Điểm: 2, Rủi ro: high]
D) Kệ hỏng cong vênh vẫn dùng, chất quá tải, đã từng đổ kệ gây hư hại [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm.
- Nếu chọn (D): Khắc phục: Kệ hỏng cong vênh vẫn dùng, chất quá tải, đã từng đổ kệ gây hư hại. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
105,"Đặc thù: Kho hàng, kho vật liệu","Hàng hóa nguy hiểm (pin lithium, aerosol, hàng dễ cháy đặc biệt) có được xác định và bảo quản riêng không?",single,"A) Khu vực riêng cho hàng nguy hiểm, tường ngăn cháy, sprinkler, biển cảnh báo đầy đủ [Điểm: 0, Rủi ro: safe]
B) Để khu riêng nhưng không có tường ngăn cháy, có biển cảnh báo [Điểm: 1, Rủi ro: low]
C) Hàng nguy hiểm để chung với hàng thường, không nhãn cảnh báo đặc biệt [Điểm: 2, Rủi ro: high]
D) Pin lithium, aerosol để chung đống lớn sát tủ điện, không biện pháp bảo vệ [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Hàng nguy hiểm để chung với hàng thường, không nhãn cảnh báo đặc biệt. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Di chuyển vật liệu dễ cháy ra xa tủ điện ít nhất 1m. Lắp khóa và biển cảnh báo 'NGUY HIỂM - ĐIỆN CAO ÁP'."
106,"Đặc thù: Kho hàng, kho vật liệu",Kho lạnh hoặc kho đông có hệ thống phát hiện và ngắt an toàn khi xảy ra sự cố môi chất lạnh không?,single,"A) Không có kho lạnh; hoặc có, cảm biến rò môi chất, quạt sự cố, van ngắt khẩn cấp [Điểm: 0, Rủi ro: safe]
B) Có kho lạnh, van ngắt tay nhưng chưa có cảm biến tự động phát hiện rò rỉ [Điểm: 1, Rủi ro: low]
C) Kho lạnh cũ dùng NH₃, đường ống ăn mòn, không có cảm biến rò khí [Điểm: 2, Rủi ro: high]
D) Kho lạnh NH₃ rò rỉ thường xuyên, không cảm biến, phòng máy kín, rất nguy hiểm [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Kho lạnh cũ dùng NH₃, đường ống ăn mòn, không có cảm biến rò khí. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Kho lạnh NH₃ rò rỉ thường xuyên, không cảm biến, phòng máy kín, rất nguy hiểm. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
107,"Đặc thù: Kho hàng, kho vật liệu",Ánh sáng chiếu sáng trong kho có được lắp đặt an toàn và không tiếp xúc với hàng hóa dễ cháy không?,single,"A) Đèn LED, cách hàng ≥ 0.5m, chao đèn bảo vệ, dây điện luồn ống đúng kỹ thuật [Điểm: 0, Rủi ro: safe]
B) Đèn LED nhưng một số vị trí hàng xếp cao gần sát đèn [Điểm: 1, Rủi ro: low]
C) Dùng đèn huỳnh quang/sợi đốt, hàng dễ cháy xếp sát đèn, ballast cũ nóng [Điểm: 2, Rủi ro: high]
D) Đèn sợi đốt tỏa nhiệt chạm trực tiếp vào hàng vải/giấy/nhựa, đã có hiện tượng ố cháy [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém).
- Nếu chọn (D): Đốt vàng mã trong lư/thùng kim loại có nắp, đặt trên nền bê tông, xa vật liệu dễ cháy 3m. Luôn có người trông coi."
108,"Đặc thù: Kho hàng, kho vật liệu","Hàng hóa trả lại, hàng hỏng và phế phẩm có được quản lý riêng trong kho không?",single,"A) Có khu riêng cho hàng trả lại/hỏng, kiểm tra và xử lý trong ngày, không tích tụ [Điểm: 0, Rủi ro: safe]
B) Có khu riêng nhưng xử lý hàng tuần, đôi khi tích tụ nhiều [Điểm: 1, Rủi ro: low]
C) Hàng hỏng để lẫn trong kho chính, tích tụ lâu ngày không xử lý [Điểm: 2, Rủi ro: high]
D) Hàng hỏng (pin rò, aerosol méo, hóa chất đổ) chất đống trong kho không ai quản lý [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Hàng hỏng để lẫn trong kho chính, tích tụ lâu ngày không xử lý. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Bảo quản vật liệu dễ tự cháy nơi thông thoáng, không chất đống. Kiểm tra nhiệt độ kho định kỳ hàng ngày."
109,"Đặc thù: Kho hàng, kho vật liệu",Việc sạc pin xe nâng và thiết bị điện trong kho được thực hiện ở khu vực được chỉ định an toàn không?,single,"A) Không sạc trong kho; hoặc sạc tại khu riêng thông gió, sàn chống axit, biển cấm lửa [Điểm: 0, Rủi ro: safe]
B) Sạc tại góc kho có thông gió nhưng cách hàng hóa chỉ vài mét [Điểm: 1, Rủi ro: low]
C) Sạc xe nâng giữa kho, gần hàng dễ cháy, không thông gió riêng [Điểm: 2, Rủi ro: high]
D) Sạc ắc-quy cũ rò axit giữa kho hàng dễ cháy, bộ sạc tóe tia lửa khi cắm [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm.
- Nếu chọn (D): Khắc phục: Sạc ắc-quy cũ rò axit giữa kho hàng dễ cháy, bộ sạc tóe tia lửa khi cắm. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
110,"Đặc thù: Kho hàng, kho vật liệu",Kho có quy trình thực hành tốt để duy trì an toàn PCCC hàng ngày không?,single,"A) Có checklist PCCC hàng ngày: kiểm tra thoát hiểm, bình chữa cháy, tủ điện, cuối ngày ký xác nhận [Điểm: 0, Rủi ro: safe]
B) Có nhắc nhở chung về PCCC nhưng không có checklist cụ thể hàng ngày [Điểm: 1, Rủi ro: low]
C) Không có quy trình PCCC hàng ngày, chỉ kiểm tra khi có đoàn thanh tra [Điểm: 2, Rủi ro: high]
D) Không có bất kỳ quy trình PCCC nào, nhân viên kho không biết trách nhiệm PCCC [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Không có quy trình PCCC hàng ngày, chỉ kiểm tra khi có đoàn thanh tra. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Thu gom rác thải hữu cơ hàng ngày vào thùng kim loại có nắp. Không để tích tụ quá 24 giờ."
111,Đặc thù: Nhà ở hỗn hợp (ở + kinh doanh),"Khu vực kinh doanh và khu vực sinh hoạt gia đình có được ngăn cách bằng tường và cửa chống cháy không, hay chỉ phân biệt bằng nội thất?",single,"A) Ngăn cách bằng tường chịu lửa và cửa chống cháy tự đóng, lối đi riêng biệt [Điểm: 0, Rủi ro: safe]
B) Có tường ngăn thường (gạch), cửa thường, nhưng lối đi chung qua khu kinh doanh [Điểm: 1, Rủi ro: low]
C) Chỉ phân biệt bằng nội thất, không có tường ngăn, hàng hóa tràn vào khu sinh hoạt [Điểm: 2, Rủi ro: high]
D) Toàn bộ nhà (kể cả phòng ngủ, cầu thang) đều chứa hàng hóa kinh doanh [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Chỉ phân biệt bằng nội thất, không có tường ngăn, hàng hóa tràn vào khu sinh hoạt. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Toàn bộ nhà (kể cả phòng ngủ, cầu thang) đều chứa hàng hóa kinh doanh. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
112,Đặc thù: Nhà ở hỗn hợp (ở + kinh doanh),Lối thoát nạn từ tầng ở phía trên có hoàn toàn độc lập với lối ra vào của khu kinh doanh tầng dưới không?,single,"A) Có cầu thang thoát hiểm riêng hoặc ban công kết nối nhà bên, không qua khu kinh doanh [Điểm: 0, Rủi ro: safe]
B) Cầu thang đi qua tầng kinh doanh nhưng bằng bê tông, có cửa ngăn tại mỗi tầng [Điểm: 1, Rủi ro: low]
C) Cầu thang duy nhất đi qua khu kinh doanh đầy hàng hóa, không có cửa ngăn [Điểm: 2, Rủi ro: high]
D) Tầng trên hoàn toàn bị giam kín (chuồng cọp), chỉ có 1 lối duy nhất qua tầng dưới [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Cầu thang duy nhất đi qua khu kinh doanh đầy hàng hóa, không có cửa ngăn. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Tầng trên hoàn toàn bị giam kín (chuồng cọp), chỉ có 1 lối duy nhất qua tầng dưới. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
113,Đặc thù: Nhà ở hỗn hợp (ở + kinh doanh),"Hệ thống điện phục vụ kinh doanh và điện sinh hoạt gia đình có được tách riêng mạch, riêng CB, có thể ngắt độc lập không?",single,"A) Mạch điện kinh doanh và sinh hoạt tách riêng hoàn toàn, CB riêng, ngắt độc lập [Điểm: 0, Rủi ro: safe]
B) Có CB riêng cho khu kinh doanh nhưng chung công tơ, chung dây tổng [Điểm: 1, Rủi ro: low]
C) Dùng chung mạch điện, thiết bị kinh doanh và gia đình cắm cùng ổ cắm [Điểm: 2, Rủi ro: high]
D) Chung mạch điện, thường xuyên quá tải do thiết bị kinh doanh, CB nhảy liên tục [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Dùng chung mạch điện, thiết bị kinh doanh và gia đình cắm cùng ổ cắm. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Kiểm tra và thay thế aptomat không đúng dòng định mức. Thử test aptomat bằng cách nhấn nút TEST hàng tháng."
114,Đặc thù: Nhà ở hỗn hợp (ở + kinh doanh),"Hàng hóa kinh doanh được để qua đêm trong cửa hàng có được sắp xếp cách xa nguồn điện, nguồn nhiệt và không chất vào khu sinh hoạt không?",single,"A) Hàng hóa xếp gọn tầng dưới, cách xa ổ cắm/tủ điện ≥ 1m, không chất lên tầng sinh hoạt [Điểm: 0, Rủi ro: safe]
B) Hàng hóa xếp gọn nhưng một số gần ổ cắm, không tràn lên tầng sinh hoạt [Điểm: 1, Rủi ro: low]
C) Hàng hóa dễ cháy xếp sát tủ điện, ổ cắm, một phần tràn vào khu sinh hoạt [Điểm: 2, Rủi ro: high]
D) Hàng hóa dễ cháy chất khắp nhà kể cả cầu thang, phòng ngủ, sát thiết bị điện [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Di chuyển vật liệu dễ cháy ra xa tủ điện ít nhất 1m. Lắp khóa và biển cảnh báo 'NGUY HIỂM - ĐIỆN CAO ÁP'.
- Nếu chọn (D): Khắc phục: Hàng hóa dễ cháy chất khắp nhà kể cả cầu thang, phòng ngủ, sát thiết bị điện. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
115,Đặc thù: Nhà ở hỗn hợp (ở + kinh doanh),Có cảm biến khói được lắp đặt trong từng phòng ngủ của khu ở không?,single,"A) Có cảm biến khói trong mỗi phòng ngủ, kiểm tra pin hàng tháng, hoạt động tốt [Điểm: 0, Rủi ro: safe]
B) Có cảm biến khói ở hành lang các tầng ngủ nhưng chưa lắp trong từng phòng [Điểm: 1, Rủi ro: low]
C) Chỉ có 1 cảm biến ở tầng kinh doanh, tầng ngủ không có cảm biến [Điểm: 2, Rủi ro: high]
D) Không có bất kỳ cảm biến khói nào trong nhà [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Chỉ có 1 cảm biến ở tầng kinh doanh, tầng ngủ không có cảm biến. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Không có bất kỳ cảm biến khói nào trong nhà. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
116,Đặc thù: Nhà ở hỗn hợp (ở + kinh doanh),"Các thiết bị điện kinh doanh hoạt động 24/7 như tủ đông, tủ mát, biển hiệu LED có được bảo dưỡng định kỳ không?",single,"A) Bảo dưỡng 6 tháng/lần, mạch điện riêng có CB, kiểm tra dây điện và motor định kỳ [Điểm: 0, Rủi ro: safe]
B) Hoạt động bình thường, chỉ sửa khi hỏng, chưa bảo dưỡng chủ động [Điểm: 1, Rủi ro: low]
C) Chạy liên tục nhiều năm không bảo dưỡng, motor kêu lạ, dây điện nóng [Điểm: 2, Rủi ro: high]
D) Tủ đông/tủ mát motor cháy khét vẫn chạy, biển hiệu LED cũ chập chờn, chưa sửa [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém).
- Nếu chọn (D): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém)."
117,Đặc thù: Nhà ở hỗn hợp (ở + kinh doanh),Bếp nấu ăn của gia đình và bếp chế biến phục vụ kinh doanh có được tách biệt về không gian và nguồn nhiệt không?,single,"A) Bếp gia đình và bếp kinh doanh ở phòng riêng, quạt hút riêng, bình gas riêng [Điểm: 0, Rủi ro: safe]
B) Cùng phòng bếp nhưng bếp kinh doanh có quạt hút mùi, bình gas đặt nơi thoáng [Điểm: 1, Rủi ro: low]
C) Dùng chung bếp quá tải, nhiều bình gas cùng phòng nhỏ, thông gió kém [Điểm: 2, Rủi ro: high]
D) Bếp kinh doanh đặt ngay trong khu bán hàng hoặc gần kho hàng dễ cháy [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Lắp van ngắt gas tự động và đầu dò khí gas LPG. Đặt bình gas nơi thoáng, xa nguồn nhiệt tối thiểu 1.5m.
- Nếu chọn (D): Khắc phục: Bếp kinh doanh đặt ngay trong khu bán hàng hoặc gần kho hàng dễ cháy. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
118,Đặc thù: Nhà ở hỗn hợp (ở + kinh doanh),"Trẻ em trong gia đình có biết đường thoát nạn, biết điểm tập kết ngoài nhà và biết phải làm gì khi nghe chuông cảm biến khói kêu không?",single,"A) Trẻ em đã được dạy, biết đường thoát, biết điểm tập kết, đã diễn tập gia đình [Điểm: 0, Rủi ro: safe]
B) Đã nói cho trẻ biết lối thoát nhưng chưa diễn tập thực tế [Điểm: 1, Rủi ro: low]
C) Trẻ chưa được hướng dẫn về thoát nạn, gia đình chưa nghĩ đến việc này [Điểm: 2, Rủi ro: high]
D) Trẻ nhỏ ngủ phòng kín trên tầng cao, không có lối thoát thứ hai, không ai hướng dẫn [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Dọn sạch lối thoát hiểm ngay. Lắp đèn EXIT phát quang và đèn chiếu sáng sự cố. Không khóa cửa thoát nạn.
- Nếu chọn (D): Dọn sạch lối thoát hiểm ngay. Lắp đèn EXIT phát quang và đèn chiếu sáng sự cố. Không khóa cửa thoát nạn."
119,Đặc thù: Nhà ở hỗn hợp (ở + kinh doanh),"Cầu thang bộ trong nhà nhiều tầng có cửa ngăn khói tại mỗi tầng với cơ chế tự đóng, và không bị xe máy hay đồ đạc chiếm chỗ không?",single,"A) Cầu thang bê tông, cửa ngăn khói tự đóng mỗi tầng, không để đồ đạc, xe máy trên cầu thang [Điểm: 0, Rủi ro: safe]
B) Cầu thang bê tông, không có cửa ngăn khói nhưng thông thoáng, không để đồ đạc [Điểm: 1, Rủi ro: low]
C) Cầu thang bị xe máy, đồ đạc chiếm chỗ, phải len qua khi đi, không có cửa ngăn khói [Điểm: 2, Rủi ro: high]
D) Cầu thang gỗ duy nhất, chất đầy đồ đạc và xe máy, khi cháy tầng 1 không thể thoát [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm.
- Nếu chọn (D): Dọn sạch lối thoát hiểm ngay. Lắp đèn EXIT phát quang và đèn chiếu sáng sự cố. Không khóa cửa thoát nạn."
120,Đặc thù: Nhà ở hỗn hợp (ở + kinh doanh),"Gia đình đã từng thực hành diễn tập thoát nạn, kể cả tình huống giả định cháy xảy ra vào ban đêm khi mọi người đang ngủ chưa?",single,"A) Đã diễn tập thoát nạn ban đêm, mọi người biết cách, có thang dây hoặc lối thoát phụ [Điểm: 0, Rủi ro: safe]
B) Đã bàn về kế hoạch thoát nạn nhưng chưa thực hành, có đèn pin sẵn [Điểm: 1, Rủi ro: low]
C) Chưa bao giờ nghĩ đến việc diễn tập, không có kế hoạch thoát nạn gia đình [Điểm: 2, Rủi ro: high]
D) Nhà nhiều tầng, cửa khóa kín ban đêm, không ai biết phải làm gì nếu cháy lúc ngủ [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Dọn sạch lối thoát hiểm ngay. Lắp đèn EXIT phát quang và đèn chiếu sáng sự cố. Không khóa cửa thoát nạn.
- Nếu chọn (D): Khắc phục: Nhà nhiều tầng, cửa khóa kín ban đêm, không ai biết phải làm gì nếu cháy lúc ngủ. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
121,"Đặc thù: Nhà hàng, khách sạn, chợ, TTTM","Hệ thống ống hút khói và bộ lọc mỡ của bếp công nghiệp có được vệ sinh định kỳ không, hay đã có mùi khét và quạt chạy chậm hơn bình thường?",single,"A) Vệ sinh ống hút và bộ lọc mỡ mỗi 3 tháng bởi đơn vị chuyên nghiệp, có biên bản [Điểm: 0, Rủi ro: safe]
B) Tự vệ sinh 6 tháng/lần, quạt hoạt động bình thường, chưa mời đơn vị chuyên nghiệp [Điểm: 1, Rủi ro: low]
C) Lâu chưa vệ sinh, bộ lọc mỡ bám dày, quạt chạy chậm, có mùi khét khi nấu [Điểm: 2, Rủi ro: high]
D) Chưa bao giờ vệ sinh ống hút, mỡ nhỏ giọt ngược, quạt gần kẹt, đã có cháy mỡ nhỏ [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém).
- Nếu chọn (D): Khắc phục: Chưa bao giờ vệ sinh ống hút, mỡ nhỏ giọt ngược, quạt gần kẹt, đã có cháy mỡ nhỏ. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
122,"Đặc thù: Nhà hàng, khách sạn, chợ, TTTM","Toàn bộ nhân viên có được đào tạo quy trình dẫn khách thoát nạn, và cơ sở đã tổ chức diễn tập sơ tán có sự tham gia của khách hàng thực tế chưa?",single,"A) 100% nhân viên được đào tạo, có diễn tập sơ tán thực tế bao gồm khách, định kỳ 6 tháng [Điểm: 0, Rủi ro: safe]
B) Nhân viên được đào tạo lý thuyết, chưa tổ chức diễn tập có khách tham gia [Điểm: 1, Rủi ro: low]
C) Chỉ quản lý biết quy trình, nhân viên phục vụ không biết dẫn khách thoát nạn [Điểm: 2, Rủi ro: high]
D) Không ai được đào tạo, cơ sở đông khách nhưng chưa từng diễn tập sơ tán [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Dọn sạch lối thoát hiểm ngay. Lắp đèn EXIT phát quang và đèn chiếu sáng sự cố. Không khóa cửa thoát nạn.
- Nếu chọn (D): Khắc phục: Không ai được đào tạo, cơ sở đông khách nhưng chưa từng diễn tập sơ tán. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
123,"Đặc thù: Nhà hàng, khách sạn, chợ, TTTM","Ban quản lý chợ/TTTM có thực sự kiểm tra và xử lý khi tiểu thương sử dụng bếp lửa, bếp gas hoặc bếp cồn ngay tại gian hàng không?",single,"A) Cấm tuyệt đối bếp lửa/gas tại gian hàng, kiểm tra hàng ngày, xử phạt vi phạm [Điểm: 0, Rủi ro: safe]
B) Có quy định cấm nhưng kiểm tra không thường xuyên, đôi khi bỏ qua vi phạm nhỏ [Điểm: 1, Rủi ro: low]
C) Biết tiểu thương dùng bếp gas nhưng không xử lý vì sợ mất mối quan hệ [Điểm: 2, Rủi ro: high]
D) Nhiều gian hàng dùng bếp gas/cồn thoải mái, bình gas để trong gian hàng kín [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Lắp van ngắt gas tự động và đầu dò khí gas LPG. Đặt bình gas nơi thoáng, xa nguồn nhiệt tối thiểu 1.5m.
- Nếu chọn (D): Lắp van ngắt gas tự động và đầu dò khí gas LPG. Đặt bình gas nơi thoáng, xa nguồn nhiệt tối thiểu 1.5m."
